DateTime,市場名稱,平均價
2012-01-01,三重區,17.6
2012-01-03,三重區,18.1
2012-01-04,三重區,17.9
2012-01-05,三重區,17.2
2012-01-06,三重區,18.1
2012-01-07,三重區,18.3
2012-01-08,三重區,18.8
2012-01-10,三重區,18.2
2012-01-11,三重區,17.6
2012-01-12,三重區,18.3
2012-01-13,三重區,16.8
2012-01-14,三重區,17.5
2012-01-15,三重區,16.9
2012-01-17,三重區,16.6
2012-01-18,三重區,14.9
2012-01-19,三重區,14.3
2012-01-20,三重區,15.0
2012-01-21,三重區,16.7
2012-01-22,三重區,17.6
2012-01-28,三重區,16.1
2012-01-29,三重區,16.3
2012-01-30,三重區,16.1
2012-02-01,三重區,16.9
2012-02-02,三重區,15.5
2012-02-03,三重區,16.3
2012-02-04,三重區,16.4
2012-02-05,三重區,17.0
2012-02-06,三重區,18.4
2012-02-09,三重區,17.7
2012-02-10,三重區,16.9
2012-02-11,三重區,18.0
2012-02-12,三重區,18.0
2012-02-14,三重區,18.2
2012-02-15,三重區,17.9
2012-02-16,三重區,17.1
2012-02-17,三重區,17.5
2012-02-18,三重區,18.1
2012-02-19,三重區,18.1
2012-02-21,三重區,18.6
2012-02-22,三重區,19.2
2012-02-23,三重區,19.2
2012-02-24,三重區,18.9
2012-02-25,三重區,19.6
2012-02-26,三重區,19.2
2012-02-28,三重區,19.9
2012-02-29,三重區,19.7
2012-03-01,三重區,19.6
2012-03-02,三重區,20.1
2012-03-03,三重區,20.2
2012-03-04,三重區,22.3
2012-03-06,三重區,22.5
2012-03-07,三重區,23.8
2012-03-08,三重區,23.3
2012-03-09,三重區,23.3
2012-03-10,三重區,23.4
2012-03-11,三重區,23.4
2012-03-13,三重區,23.1
2012-03-14,三重區,23.6
2012-03-15,三重區,23.0
2012-03-16,三重區,22.4
2012-03-17,三重區,23.5
2012-03-18,三重區,23.8
2012-03-20,三重區,23.9
2012-03-21,三重區,24.1
2012-03-22,三重區,23.2
2012-03-23,三重區,23.2
2012-03-24,三重區,23.6
2012-03-25,三重區,21.5
2012-03-27,三重區,20.9
2012-03-28,三重區,20.4
2012-03-29,三重區,21.4
2012-03-30,三重區,21.4
2012-03-31,三重區,20.5
2012-04-01,三重區,21.5
2012-04-02,三重區,20.5
2012-04-03,三重區,21.6
2012-04-06,三重區,21.2
2012-04-07,三重區,20.7
2012-04-08,三重區,21.3
2012-04-10,三重區,21.4
2012-04-11,三重區,21.3
2012-04-12,三重區,20.9
2012-04-13,三重區,20.8
2012-04-14,三重區,20.0
2012-04-15,三重區,19.9
2012-04-17,三重區,20.5
2012-04-18,三重區,20.6
2012-04-19,三重區,20.4
2012-04-20,三重區,21.0
2012-04-21,三重區,20.9
2012-04-22,三重區,20.3
2012-04-24,三重區,20.6
2012-04-25,三重區,20.3
2012-04-26,三重區,19.7
2012-04-27,三重區,19.6
2012-04-28,三重區,19.0
2012-04-29,三重區,19.0
2012-05-01,三重區,19.9
2012-05-02,三重區,20.0
2012-05-03,三重區,19.5
2012-05-04,三重區,21.2
2012-05-05,三重區,21.7
2012-05-06,三重區,21.7
2012-05-08,三重區,23.2
2012-05-09,三重區,20.9
2012-05-10,三重區,19.9
2012-05-11,三重區,19.8
2012-05-12,三重區,20.5
2012-05-13,三重區,21.4
2012-05-15,三重區,20.3
2012-05-16,三重區,18.9
2012-05-17,三重區,19.2
2012-05-18,三重區,19.0
2012-05-19,三重區,19.4
2012-05-20,三重區,20.4
2012-05-22,三重區,21.5
2012-05-23,三重區,21.6
2012-05-24,三重區,21.0
2012-05-25,三重區,20.2
2012-05-26,三重區,20.1
2012-05-27,三重區,20.0
2012-05-29,三重區,19.9
2012-05-30,三重區,20.0
2012-05-31,三重區,19.9
2012-06-01,三重區,19.6
2012-06-02,三重區,21.8
2012-06-03,三重區,21.5
2012-06-05,三重區,20.5
2012-06-06,三重區,20.8
2012-06-07,三重區,21.0
2012-06-08,三重區,19.5
2012-06-09,三重區,18.7
2012-06-10,三重區,18.2
2012-06-12,三重區,16.4
2012-06-13,三重區,20.4
2012-06-14,三重區,20.3
2012-06-15,三重區,18.6
2012-06-16,三重區,19.0
2012-06-17,三重區,21.5
2012-06-19,三重區,19.8
2012-06-20,三重區,20.8
2012-06-21,三重區,21.9
2012-06-22,三重區,20.4
2012-06-23,三重區,20.4
2012-06-26,三重區,20.5
2012-06-27,三重區,19.6
2012-06-28,三重區,18.5
2012-06-29,三重區,19.5
2012-06-30,三重區,19.7
2012-07-01,三重區,20.8
2012-07-03,三重區,20.4
2012-07-04,三重區,20.1
2012-07-05,三重區,19.0
2012-07-06,三重區,18.1
