DateTime,三重區,台中市,台北一,台北二,台東市,宜蘭市,屏東市,板橋區,桃農,永靖鄉,溪湖鎮,花蓮市,豐原區,高雄市,鳳山區
2012-01-03,0.0745792736935341,0.012435783879539416,0.5686448184233835,0.09665190434012401,0.0,0.0,0.06221434898139947,0.0,0.000141718334809566,0.0,0.0,0.04216120460584588,0.0,0.14242692648361382,0.0007440212577502214
2012-01-04,0.06877574331106573,0.061126302308677445,0.5644664428368696,0.0975736388494687,0.0,0.0,0.02706725277768163,0.0,0.0011076113668616525,0.0,0.0,0.05112318715170815,0.0,0.1266830500848015,0.0020767713128655983
2012-01-05,0.09099124365086785,0.049827054314293726,0.51581440279206,0.10239631049203826,0.0,0.0,0.024773300925493128,0.0,0.03106790065750522,0.0,0.0,0.06933408120656882,0.0,0.11174472593562058,0.0040509800255523355
2012-01-06,0.08013657360915846,0.05975095400682868,0.4675302939010511,0.11334270603200107,0.0,0.0,0.02510544286001205,0.0,0.007699002477070362,0.0,0.0,0.07816161210417086,0.0,0.14115953672089443,0.027113878288813016
2012-01-07,0.09450495953264772,0.07013326842329459,0.4477879875859551,0.12179760238544392,0.0,0.0,0.03900687640722936,0.0,0.0012170632264346132,0.0,0.0,0.10837948031400231,0.0,0.1147994888334449,0.0023732732915474957
2012-01-11,0.07018978500119255,0.07645916385566799,0.4600838188694674,0.1241268867763808,0.0,0.0,0.045112269583290746,0.0,0.0021465808034345293,0.0,0.0,0.08630617738253432,0.0,0.13421240928140651,0.001362908446625098
2012-01-12,0.11969580518587436,0.07236762266898589,0.43841268557097207,0.13992152421018567,0.0,0.0,0.026981109178431294,0.0,0.0243113142672222,0.0,0.0,0.058209619351967966,0.0,0.11908903361514502,0.0010112859512155657
2012-01-13,0.04755594374002349,0.0492726560852935,0.511339336806915,0.14010782158238713,0.0,0.0,0.060476462970213536,0.0,0.02270879137427341,0.0,0.0,0.06662048610065356,0.0,0.097822485919947,0.004096015420293347
2012-01-14,0.04034070315331642,0.057339615802827114,0.5310619789778905,0.1113809351214208,0.0,0.0,0.056324755346139906,0.0,0.02602392171076477,0.0,0.0,0.05683218557448351,0.0,0.11399057629575933,0.006705328017397608
2012-01-17,0.0724857382215662,0.05808433398492041,0.46954162843579206,0.08708660789085251,0.0,0.0,0.06151513942633741,0.0,0.026808154146886344,0.0,0.0,0.0750388957593649,0.0,0.13703275222403957,0.012406749910240555
2012-01-18,0.041609567708982186,0.04444375233586645,0.3790644076242681,0.04407001370374984,0.0,0.0,0.03179892861592126,0.0,0.024542170175657158,0.0,0.0,0.04936464432540177,0.0,0.15774884763921765,0.2273576678709356
2012-01-19,0.05201219512195122,0.06542682926829269,0.40829268292682924,0.1342378048780488,0.0,0.0,0.06320121951219512,0.0,0.02048780487804878,0.0,0.0,0.10923780487804878,0.0,0.1423170731707317,0.0047865853658536585
2012-01-20,0.025786677564364528,0.04965263588067021,0.4552104617899469,0.1760114425827544,0.0,0.0,0.013118103800572128,0.0,0.0008173273395995096,0.0,0.0,0.09824274621986105,0.0,0.17842255823457295,0.0027380465876583574
2012-02-01,0.05342536807245741,0.02916650041894426,0.5596696325260344,0.12109484100067829,0.0,0.0,0.04440809160914495,0.0,0.0007979890675497746,0.0,0.0,0.05402385987311974,0.0,0.13478035350915693,0.002633363922914256
2012-02-03,0.045936886367693434,0.03427415355931531,0.5100660491500882,0.12095126643790785,0.0,0.0,0.031695658210524225,0.0,0.022849435706210206,0.0,0.0,0.10212825039173294,0.0,0.12971815062379752,0.00238014955273023
2012-02-04,0.0714385866517106,0.05317582725743129,0.44952327537857545,0.1352005047672462,0.0,0.0,0.030846887268648347,0.0,0.020050476724621423,0.036104879416713406,0.0,0.03326556365675827,0.0,0.169692933258553,0.0007010656197420079
2012-02-05,0.034099890850239,0.03801422710677858,0.4586924611389213,0.12446836538823441,0.0,0.0,0.026158304791298128,0.0,0.02973390041025255,0.0,0.0,0.08811020362076104,0.0,0.19733524031766345,0.0033874063758515564
2012-02-09,0.04607650273224044,0.03234972677595629,0.46837158469945356,0.12419672131147541,0.0,0.0,0.07667759562841531,0.0,0.0013989071038251367,0.0,0.0,0.049879781420765025,0.0,0.20017486338797813,0.0008743169398907104
2012-02-10,0.0469212094460384,0.04290443610681969,0.42979474729640255,0.09790333259766056,0.0,0.0,0.022644007945265946,0.0,0.023615096005296845,0.0,0.0,0.08894283822555728,0.0,0.2455087177223571,0.0017656146546016333
2012-02-11,0.052307692307692305,0.04502262443438914,0.4802262443438914,0.13615384615384615,0.0,0.0,0.040045248868778284,0.0,0.019230769230769232,0.0,0.0,0.054841628959276016,0.0,0.16891402714932127,0.003257918552036199
2012-02-18,0.03631636333137633,0.06722301434202801,0.4607061981045039,0.08609410383292795,0.0,0.0,0.03065503648410635,0.0,0.03333892476725656,0.0,0.0,0.07141658978445022,0.0,0.11528138891218653,0.09896838044116414
2012-02-21,0.07264712364998897,0.03385497024465506,0.46656380868415254,0.09124972448754684,0.0,0.0,0.02596429358607009,0.0,0.014238483579457792,0.01313643376680626,0.0,0.05488208067004629,0.0,0.22746308133127618,0.0
2012-03-01,0.003956478733926805,0.0029091755396520626,0.4782684587187991,0.13294932216209926,0.0,0.0,0.045150404375400015,0.0,0.0186187234537732,0.0,0.0,0.15057892593239075,0.0,0.16582300576016756,0.0017455053237912376
2012-03-03,0.04837425754699651,0.04035270344743126,0.4859469720164105,0.12314004041393668,0.0,0.0,0.02755495683056763,0.0,0.014328577551895169,0.0,0.0,0.15412405853897496,0.0,0.10005510991366114,0.006123323740126141
