DateTime,三重區,台中市,台北一,台北二,台東市,嘉義市,宜蘭市,東勢鎮,板橋區,桃農,豐原區,高雄市,鳳山區
2012-01-01,0.2873756380116384,0.2635893126905096,0.21099301874480428,0.12993537199095387,0.0,0.024671273162839343,0.0,0.0,0.0,0.0005363320252791161,0.0,0.03927738198460727,0.043621671389368115
2012-01-03,0.2831545206722272,0.26953280466981355,0.21360802153455072,0.13403460420848115,0.0,0.024992403849857278,0.0,0.0,0.0,0.000838786156604799,0.0,0.04696346572745441,0.02687539318101091
2012-01-08,0.29755228745815115,0.24679596234546897,0.20669665923153505,0.13666360019995044,0.0,0.023187529141935403,0.0,0.0,0.0,0.0008065227527629705,0.0,0.03814180518274882,0.05015563368744723
2012-01-11,0.2823892072612761,0.2844902946123213,0.2012545178490182,0.11146498443354992,0.0,0.01963059714845128,0.0,0.0,0.0,0.0005112134674075853,0.0,0.028893785177876725,0.07136540005009892
2012-02-02,0.2677775246525857,0.21871643831158263,0.2469652097503824,0.12197741400071599,0.0,0.020828587235981383,0.0,0.0,0.0,0.00016272333778110455,0.0,0.028378950109024637,0.09519315260194618
2012-02-14,0.283094459688248,0.2915377430089322,0.23965205207542764,0.12681709381750247,0.0,0.014011325821705879,0.0,0.0,0.0,2.9190262128553916e-05,0.0,0.026468270185066263,0.018389865140988965
2012-02-17,0.24763782668657464,0.22929892747643527,0.23801816793371097,0.14071600351049157,0.0,0.01983199790282321,0.0,0.0,0.0,0.00018236319910642032,0.0,0.033930952733738334,0.09038376055711958
2012-02-21,0.2947573176155497,0.24263351074488415,0.23195949347291664,0.13013601552228884,0.0,0.01358689011724802,0.0,0.0,0.0,0.002184654633960383,0.0,0.033962337922574276,0.05077977997057803
2012-02-22,0.2933858849612021,0.24454178871889343,0.23754799530891038,0.12371410057996005,0.0,0.01285230029399637,0.0,0.0,0.0,0.0012102582776846581,0.0,0.028751666782694377,0.05799600507665861
2012-02-29,0.24371464543471708,0.27743868919901404,0.22784388133278954,0.10922632241590269,0.0,0.021279236784707323,0.0,0.0,0.0,0.0019505967052648378,0.0,0.05513450250917667,0.06341212561842782
2012-03-01,0.2793984643736968,0.25592510321391676,0.24463306553847203,0.11624289990425987,0.0,0.021040123818858156,0.0,0.0,0.0,0.003716079422683221,0.0,0.04211052119716791,0.03693374253094525
2012-03-02,0.2800253766389079,0.2624440328437878,0.22208205113246898,0.11950355127101958,0.0,0.019105400557119314,0.0,0.0,0.0,0.0029022707716540026,0.0,0.03560021584727347,0.0583371009377689
2012-03-03,0.2944183632686905,0.27864041183734095,0.2196386282428313,0.12638467182457544,0.0,0.020281676698143035,0.0,0.0,0.0,0.0023085320241709863,0.0,0.03882151527985731,0.019506200824390505
2012-03-06,0.30410772516057777,0.3132688992522819,0.21428706411981968,0.1031603215964758,0.0,0.018477729087095197,0.0,0.0,0.0,0.0014614203914338928,0.0,0.02860688421393011,0.016629956178385676
2012-03-07,0.3002815838220907,0.2887103262300048,0.20761716519087609,0.11043350003228034,0.0,0.013210105233883423,0.0,0.0,0.0,0.0013408753432889188,0.0,0.04200416167976917,0.03640228246780658
2012-03-14,0.2806214859529441,0.28347381911276304,0.22925818029059095,0.1000295278886342,0.0,0.01948231827411013,0.0,0.0,0.0,0.0001582938359771448,0.0,0.048377031564399715,0.038599343080580696
2012-03-20,0.2954578270552665,0.2887239823756164,0.2164150043535903,0.09907371350313064,0.0,0.0371914748388734,0.0,0.0,0.0,0.00043754676281027537,0.0,0.028703067640354064,0.0339973834703584
2012-03-29,0.25869488443880556,0.3050043817770395,0.19380534445999503,0.07311027690214904,0.0,0.03139183550678194,0.0,0.0,0.0,0.0007063162989025938,0.0,0.03644068905078937,0.100846271565537
2012-03-30,0.28617631716223263,0.29360531002104584,0.21750939866529959,0.09144316730523627,0.0,0.04158796970841653,0.0,0.0,0.0,0.0012951270843451514,0.0,0.030104509560556186,0.03827820049286781
2012-04-13,0.24270904843513091,0.27165554606202186,0.2071543928446194,0.11848259308464665,0.0,0.054327158146357364,0.0,0.0,0.0,0.00031608528376062466,0.0,0.030976357808541216,0.07437881833492199
2012-04-14,0.27878727872474585,0.2572082189068208,0.20449298849915842,0.13780165607950015,0.0,0.053152960672020175,0.0,0.0,0.0,0.0003751973694495542,0.0,0.028890197447615673,0.039291502300689424
2012-04-19,0.27812604220248827,0.25084082777020955,0.2147770887857599,0.10447179058159844,0.0,0.04646456652855423,0.0,0.0,0.0,0.0011757457223770414,0.0,0.024328892255340316,0.07981504615367223
2012-04-28,0.25933035597691245,0.22694507560918278,0.22297526704797724,0.10469064222100342,0.0,0.045443861161169004,0.0,0.0,0.0,0.0002089372926950299,0.0,0.019744574159680325,0.12066128653137977
2012-05-03,0.33881536917039334,0.2568221228438441,0.1772930546682486,0.06771926622250617,0.0,0.04654558729579265,0.0,0.0,0.0,0.00014602537190836908,0.0,0.02121018526969061,0.09144838915761613
2012-06-15,0.45045985258626314,0.14180418759376426,0.23843845802622138,0.021231491748744374,0.0,0.030982975670210685,0.0,0.0,0.0,0.0013045463440088708,0.0,0.009784097580066532,0.10599439045072076
2012-06-19,0.35293311779050335,0.19146779187330465,0.22919692029481875,0.03838671671644245,0.0,0.04712716113653177,0.0,0.0,0.0,0.0008219853686604378,0.0,0.01896046250376743,0.12110584431597117
2013-01-10,0.3178646846257036,0.2557911154757091,0.2208229834594574,0.10310720864703882,0.0,0.03466004274738606,0.0,0.0,0.0,0.00023106695164924038,0.0,0.0388962701942888,0.028626627898767
