DateTime,三重區,南投市,台中市,台北一,台北二,台東市,宜蘭市,屏東市,板橋區,桃農,溪湖鎮,花蓮市,豐原區,鳳山區,高雄市,西螺鎮
2012-01-01,0.02424195182788994,0.02303375165640346,0.022488112869280538,0.3611349286772157,0.11555850027281939,0.0,0.0,0.0954478135474316,0.0,0.0005066645880427157,0.0,0.0,0.0,0.013251227687271027,0.16353573934055654,0.1808013095330891
2012-01-03,0.016530237409582548,0.018049477336114828,0.03446633863177706,0.2770912224212603,0.0964830729461917,0.0,0.0,0.06891000204077005,0.0,0.00018140178227251083,0.0,0.0,0.0,0.06961293394707603,0.06739076211423778,0.35128455137071724
2012-01-04,0.014883820537530785,0.01469108041546204,0.05362458507334832,0.2925366741621159,0.09221544062533461,0.0,0.0,0.07022165114037905,0.0,0.00036406467501873865,0.0,0.0,0.0,0.06424670735624799,0.0705000535389228,0.3267159224756398
2012-01-05,0.02796271637816245,0.022337563520747845,0.024049566564308813,0.328840457621131,0.09758417348297509,0.0,0.0,0.06405065355036822,0.0,0.0027174651485094704,0.0,0.0,0.0,0.01467431180195114,0.04994700942960407,0.3678360825022419
2012-01-06,0.013088795349769493,0.016917217879334537,0.03597915413910603,0.22335137302064542,0.08637001403086791,0.0,0.0,0.13810382842252958,0.0,0.004670274604129084,0.0,0.0,0.0,0.14171176588494688,0.049989977951493285,0.28981759871717777
2012-01-07,0.02257245892880994,0.023453986910645118,0.01966074529183919,0.247255242420195,0.11334312808868706,0.0,0.0,0.0798717777480967,0.0,0.003739815680512889,0.0,0.0,0.0,0.012287965807399492,0.07086950714571924,0.4069453719780954
2012-01-08,0.027864574944431918,0.03585349354121702,0.02422446284186451,0.3388203459717167,0.19898205714653866,0.0,0.0,0.06349257481557839,0.0,0.00579840865895693,0.0,0.0,0.0,0.015462423090551815,0.17530522178913122,0.11419643720001288
2012-01-10,0.012723692467487504,0.02665916516997382,0.01774392486962543,0.24449830134377773,0.10144331681561465,0.0,0.0,0.038409105662908706,0.0,0.005193343864280614,0.0,0.0,0.0,0.10451604526864736,0.07798671369528055,0.37082639084240365
2012-01-11,0.01293695927553028,0.023286526695954504,0.01309867126647441,0.32646955771770475,0.10144732231894996,0.0,0.0,0.050561949168530844,0.0,0.004851359728323856,0.0,0.0,0.0,0.00026951998490688084,0.06306767646821011,0.4040104573754144
2012-01-12,0.025088520313082372,0.018216548639582556,0.017680767797241894,0.27480898248229596,0.10582836377189712,0.0,0.0,0.08097279165113679,0.0,0.011181513231457324,0.0,0.0,0.0,0.008386134923592994,0.09082650018635856,0.36700987700335447
2012-01-13,0.026714880561034406,0.012952005259697568,0.02809555117247425,0.26870479947403025,0.0918255533640149,0.0,0.0,0.07880780188472496,0.0,0.013149243918474688,0.0,0.0,0.0,0.057637519175980714,0.0814376506684199,0.34067499452114836
2012-01-14,0.01989541884544072,0.013041394970938106,0.024999479177517134,0.20784983646174038,0.09045644882398284,0.0,0.0,0.09106060290410617,0.0,0.005833211808087332,0.0,0.0,0.0,0.11895585508635237,0.10187287764838232,0.3260348742734526
2012-01-15,0.02389359386200122,0.010114954734913851,0.02328297979663897,0.35951894231024506,0.16157379138237715,0.0,0.0,0.09852125202431837,0.0,0.012212281307245068,0.0,0.0,0.0,0.08973371917062681,0.11906974274563942,0.10207874266599411
2012-01-17,0.013841317505747667,0.0045512128747712665,0.02064467695772533,0.2768732698353118,0.07765213719326233,0.0,0.0,0.1081030357059072,0.0,0.03612818467601933,0.0,0.0,0.0,0.0032843804250926663,0.08849059259606813,0.3704311922300943
2012-01-18,0.02855895859425405,0.007153971687730085,0.0394132604652928,0.2648108087593457,0.13590648601464952,0.0,0.0,0.10203423279820865,0.0,0.010247068199931686,0.0,0.0,0.0,0.008349462977722115,0.09279289536604805,0.3107328551368173
2012-01-19,0.02927908005307386,0.006669615214506855,0.03856700574966829,0.23034055727554179,0.09924812030075188,0.0,0.0,0.16369747899159665,0.0,0.003892083149049093,0.0,0.0,0.0,0.007430340557275541,0.11729323308270677,0.3035824856258293
2012-01-20,0.014661716366732093,0.007543689549979899,0.03074230851088987,0.2454891574242675,0.05789013171896801,0.0,0.0,0.05744082105611654,0.0,0.007094378887128432,0.0,0.0,0.0,0.04493106628514674,0.10972639345425308,0.42448033674651786
2012-01-21,0.029023094973446954,0.004742497221193034,0.023218475978757563,0.29830801531431395,0.10779300975670002,0.0,0.0,0.0657527479313326,0.0,0.006422131653698901,0.0,0.0,0.0,0.0,0.11572187229838211,0.34901815487217486
2012-01-28,0.016321341442462976,0.004363811290932207,0.026732639246813045,0.19114867883036113,0.0494794351097825,0.0,0.0,0.07095488437618115,0.0,0.008246572518297083,0.0,0.0,0.0,0.11579562244442154,0.12266776620966911,0.3942892485310793
2012-01-29,0.020331749738304213,0.011232788469280941,0.03571140993638779,0.39270472662855305,0.10910701344713745,0.0,0.0,0.10399388034463322,0.0,0.0016104356228359771,0.0,0.0,0.0,0.0209356630968677,0.17956357194621145,0.12480876076978822
2012-02-01,0.019014630365274683,0.009640538707489585,0.016713496754190486,0.29716112779769405,0.11825404515066369,0.0,0.0,0.05949035946129251,0.0,0.01211122953202209,0.0,0.0,0.0,0.08938087394632303,0.10682104447243485,0.27141265381261503
2012-02-02,0.02070071315751687,0.011750347006174318,0.023931460297707367,0.33803187670511653,0.139759728138611,0.0,0.0,0.058727803570573875,0.0,0.012922988560761978,0.0,0.0,0.0,0.00899822907193797,0.1091274589575456,0.27604939453405447
