DateTime,三重區,台中市,台北一,台北二,台東市,嘉義市,宜蘭市,板橋區,桃農,豐原區,高雄市,鳳山區
2012-01-04,0.18489795918367347,0.10108843537414966,0.19789115646258504,0.059319727891156464,0.0,0.08163265306122448,0.0,0.0,0.0,0.0,0.005782312925170068,0.3693877551020408
2012-01-05,0.16021966376029673,0.2608025434751192,0.15708849173852305,0.06878944072450503,0.0,0.06744062816127945,0.0,0.0,0.0,0.0,0.013006406859675322,0.2726528252806012
2012-01-06,0.1840507114677069,0.16649674187685623,0.26862892858726006,0.06742320138304003,0.0,0.08954297619575335,0.0,0.0,0.0,0.0,0.06383261669400239,0.160024823795381
2012-01-07,0.13504985208721376,0.09810452503560864,0.2773090829407253,0.03784376027172127,0.0,0.033088638106716334,0.0,0.0,0.0,0.0,0.04937000109565027,0.3692341404623644
2012-01-08,0.2247035318381026,0.17578628512503222,0.25625161124001034,0.07588940448569219,0.0,0.03222480020623872,0.0,0.0,0.0,0.0,0.04791827790667698,0.18722608919824696
2012-01-12,0.16420075427908326,0.1907745865970409,0.16443284015085582,0.01734841891499855,0.0,0.08239048447925733,0.0,0.0,0.0,0.0,0.019959384972439802,0.36089353060632434
2012-01-19,0.1850352677140109,0.09137544084642514,0.38934754729079835,0.020840012824623277,0.0,0.19397242705995513,0.0,0.0,0.006813081115742225,0.0,0.0,0.11261622314844501
2012-01-21,0.2270277207392197,0.13317077344284736,0.30257529089664614,0.031570841889117046,0.0,0.08555783709787816,0.0,0.0,0.0,0.0,0.011336413415468857,0.20876112251882273
2012-01-22,0.178709460594858,0.04200974626113258,0.08544782389514367,0.009998319610149554,0.0,0.04200974626113258,0.0,0.0,0.0,0.0,0.0007561754327003865,0.6410687279448832
2012-01-29,0.16270528722888228,0.09562746864389163,0.2881297207400735,0.04705148638348001,0.0,0.09562746864389163,0.0,0.0,0.0,0.0,0.05446607996673827,0.25639248839304274
2012-02-03,0.23412951845701876,0.22850938817218036,0.344105249712607,0.0028100651424192106,0.0,0.11495721037169498,0.0,0.0,0.011495721037169499,0.0,0.06399284710691021,0.0
2012-02-04,0.19706312376835547,0.07475684953276969,0.15320068654249572,0.03038586231008836,0.0,0.05594049965037188,0.0,0.0,0.0,0.0,0.028415231072404807,0.46023774712351406
2012-02-05,0.10377007607776839,0.027489433643279798,0.12655959425190194,0.017176669484361792,0.0,0.042265426880811495,0.0,0.0,0.0,0.0,0.01088757396449704,0.6718512256973795
2012-02-19,0.0714851709304958,0.20206022187004755,0.20234321937966945,0.003395970115462984,0.0,0.022073805750509396,0.0,0.0,0.0,0.0,0.039619651347068144,0.45902196060674666
2012-02-21,0.10511125982934583,0.21419608499247114,0.19252969717249457,0.019784172661870502,0.0,0.03262506274050527,0.0,0.0,0.0,0.0,0.05178183034967375,0.3839718922536389
2012-03-02,0.09321705426356588,0.12325581395348838,0.15281007751937983,0.007655038759689922,0.0,0.050387596899224806,0.0,0.0,0.0,0.0,0.1375968992248062,0.43507751937984496
2012-03-04,0.2845722061575098,0.11702670522197653,0.19101888076203435,0.006520383285139196,0.0,0.06350286329874695,0.0,0.0,0.0,0.0,0.06010092419345694,0.2772580370811362
2012-03-06,0.20196960486322188,0.23287537993920973,0.1356109422492401,0.021762917933130697,0.0,0.10212765957446808,0.0,0.0,0.0,0.0,0.10310030395136778,0.2025531914893617
2012-03-16,0.26275811209439526,0.11976401179941003,0.08034660766961652,0.028650442477876105,0.0,0.06784660766961652,0.0,0.0,0.0,0.0,0.004793510324483776,0.4358407079646018
2012-03-18,0.15070840366221677,0.22175336299933507,0.20717610352411642,0.020101273592143625,0.0,0.05217124443762467,0.0,0.0,0.0,0.0,0.010255229911513477,0.33783438187305
2012-03-28,0.2204082380533568,0.2569444444444444,0.2450527704485488,0.026385224274406333,0.0,0.06376429199648197,0.0,0.0,0.0,0.0,0.02198768689533861,0.16545734388742303
2012-03-30,0.2663264602441211,0.1134404523825943,0.24438314598993172,0.05165161023377698,0.0,0.09130404799668988,0.0,0.0,0.0,0.0,0.08338735259637266,0.14950693055651335
2012-03-31,0.3607682119205298,0.2660132450331126,0.16958940397350994,0.029788079470198677,0.0,0.06437086092715232,0.0,0.0,0.0,0.0,0.03940397350993378,0.07006622516556292
2012-04-01,0.3316241909385113,0.25458131067961165,0.16239886731391587,0.025232605177993528,0.0,0.04733009708737864,0.0,0.0,0.0,0.0,0.07082322006472491,0.10800970873786407
2012-04-03,0.15581314878892732,0.25581314878892736,0.18061130334486736,0.024648212226066897,0.0,0.06286043829296424,0.0,0.0,0.0,0.0,0.13109573241061132,0.18915801614763553
2012-04-08,0.2359930283965312,0.15939040979425267,0.2656648529161707,0.05402992688318313,0.0,0.09139602108484951,0.0,0.0,0.0,0.0,0.02561214079238225,0.1679136201326305
2012-04-11,0.2112264722988776,0.22987538516749373,0.2389709067059362,0.04753183432538455,0.0,0.0945439245628581,0.0,0.0,0.0,0.0,0.06598274944622505,0.11186872749322477
2012-04-12,0.2346538227265549,0.18166128995871592,0.2920003609538205,0.059681458253434704,0.0,0.08550093622397184,0.0,0.0,0.0,0.0,0.08829832833261894,0.058203803550883206
2012-04-14,0.2400568625613147,0.21532789702252633,0.3082450713906333,0.07696753835098573,0.0,0.06748523760427406,0.0,0.0,0.0013746992845315087,0.0,0.09054269378573437,0.0
2012-04-15,0.22636941115660322,0.18310050736564332,0.15969095583334467,0.0648829522423385,0.0,0.07005182474801747,0.0,0.0,0.0,0.0,0.046030169892677886,0.2498741787613749
