DateTime,三重區,台中市,台北一,台北二,屏東市,板橋區,桃農,西螺鎮,豐原區,高雄市,鳳山區
2012-09-06,0.0012588116817724068,0.008056394763343404,0.459718026183283,0.06923464249748237,0.00436388049681101,0.0,0.0,0.425730110775428,0.0,0.03163813360187982,0.0
2013-10-29,0.0020723241114910373,0.016578592891928298,0.3506372396642835,0.11998756605533105,0.0,0.0,0.0020723241114910373,0.42368666459434257,0.0,0.08496528857113253,0.0
2015-06-04,0.005288673424416042,0.019391802556192154,0.4784486557955046,0.09026002644336713,0.0,0.0,0.005288673424416042,0.3660643455266637,0.0,0.03525782282944028,0.0
2015-06-05,0.006589785831960461,0.024894746476295075,0.4041735310269083,0.12767710049423395,0.004942339373970346,0.0,0.0,0.39035328574043565,0.0,0.04136921105619623,0.0
2015-09-19,0.0,0.030345724504172538,0.3956865720169069,0.1297279722553376,0.002709439687872548,0.0,0.0,0.4133521187818359,0.0,0.02601062100357646,0.0021675517502980383
2016-05-04,0.0004105933073290905,0.018476698829809075,0.39324574009443647,0.10716485321289262,0.0,0.0,0.0,0.4201396017244919,0.04803941695750359,0.012523095873537261,0.0
2016-07-28,0.0004455930843953302,0.010694234025487925,0.3978255057481508,0.08047411104179664,0.0,0.0,0.0,0.36601015952232424,0.13474734872114785,0.009803047856697264,0.0
2016-08-13,0.0011376564277588168,0.017064846416382253,0.35637087599544937,0.09982935153583618,0.0,0.0,0.0,0.4746871444823663,0.034129692832764506,0.01678043230944255,0.0
2016-09-10,0.0034151894617010896,0.024719466579931695,0.7093836396161978,0.17124735729386892,0.0032525613920962758,0.0,0.0,0.0,0.058546105057732965,0.029435680598471296,0.0
2016-10-11,0.0004780114722753346,0.006692160611854685,0.4487571701720841,0.09636711281070745,0.0,0.0,0.0,0.4017208413001912,0.030975143403441683,0.015009560229445506,0.0
2016-12-01,0.0,0.026879321882667857,0.40753959402186035,0.08699531563685033,0.004461298237787196,0.0,0.0,0.41713138523310284,0.04149007361142092,0.015503011376310506,0.0
2016-12-14,0.0,0.010624169986719787,0.41932270916334663,0.10856573705179283,0.0,0.0,0.0016600265604249668,0.40205843293492693,0.04780876494023904,0.0099601593625498,0.0
2017-04-07,0.0,0.010780086240689926,0.39308114464915717,0.10143081144649158,0.0,0.02822422579380635,0.0,0.41767934143473145,0.022344178753430026,0.026460211681693453,0.0
2017-04-25,0.0,0.029926119891517815,0.39558589731600113,0.11615075282895353,0.0,0.029645562517534835,0.0,0.34031609464135415,0.06546338726269522,0.02291218554194333,0.0
2017-04-30,0.0,0.0514018691588785,0.5710280373831775,0.17943925233644858,0.0,0.06822429906542056,0.0,0.05794392523364486,0.028037383177570093,0.04392523364485981,0.0
2017-05-05,0.0,0.014199503017394392,0.41187433439829607,0.10463258785942492,0.0,0.021299254526091587,0.0,0.34105431309904155,0.08874689385871494,0.018193113241036563,0.0
2017-05-18,0.0,0.019263698630136987,0.3721104452054795,0.13002996575342465,0.0,0.07063356164383562,0.0,0.3752140410958904,0.00898972602739726,0.023758561643835618,0.0
2017-06-07,0.0,0.011708459361888964,0.37086545028783297,0.09308225192701727,0.0,0.027514879500439068,0.0,0.3699873158356913,0.11708459361888965,0.009757049468240804,0.0
2017-06-16,0.0,0.016845025762980578,0.3690051525961157,0.08739595719381689,0.0,0.02437574316290131,0.0,0.3864447086801427,0.09908838684106223,0.016845025762980578,0.0
2017-06-21,0.0,0.021079340294720406,0.3807943788425881,0.08256074948765492,0.0,0.02810578705962721,0.0,0.384014833609837,0.08783058456133502,0.015614326144237337,0.0
2017-06-27,0.0,0.01890180512238919,0.38710896890653057,0.10764578017200643,0.0,0.026651545222568754,0.0,0.3292694452320197,0.11341083073433512,0.01701162461015027,0.0
2017-07-02,0.0038015586390420073,0.043337768485078886,0.6187036685040866,0.22239118038395742,0.0,0.03079262497624026,0.0,0.0524615092187797,0.0,0.028511689792815053,0.0
2017-07-06,0.0,0.017480719794344474,0.37850899742930594,0.1055012853470437,0.0,0.018508997429305913,0.0,0.3467352185089974,0.11311053984575835,0.020154241645244216,0.0
2017-07-07,0.0,0.019353369763205827,0.39310109289617484,0.10314207650273224,0.0,0.02390710382513661,0.0,0.4101775956284153,0.030965391621129327,0.019353369763205827,0.0
2017-08-04,0.0017967145790554414,0.01873716632443532,0.3861652977412731,0.1316735112936345,0.0,0.038501026694045176,0.0,0.3997689938398357,0.0,0.02335728952772074,0.0
2017-08-24,0.0,0.007371007371007371,0.43511279874916237,0.11056511056511056,0.0,0.03618494527585437,0.0,0.37458119276301094,0.011168192986374805,0.02501675228947956,0.0
2017-09-12,0.0,0.007561869844179652,0.36652153987167735,0.1357699358386801,0.0,0.041017415215398714,0.000687442713107241,0.43583868010999083,0.0,0.012603116406966087,0.0
2017-09-20,0.0006231306081754736,0.01694915254237288,0.3678963110667996,0.12337986041874377,0.0,0.05533399800598205,0.0,0.4217347956131605,0.0,0.014082751744765703,0.0
2017-09-28,0.0013065064018813691,0.01959759602822054,0.41821269924222626,0.11405800888424353,0.0,0.0329239613274105,0.0002613012803762738,0.39796185001306505,0.0,0.01567807682257643,0.0
2017-10-01,0.0,0.05096222380612972,0.627583749109052,0.21650035637918746,0.0,0.04989308624376337,0.0008909479686386316,0.036350677120456164,0.0,0.01781895937277263,0.0
2017-10-04,0.002257336343115124,0.025507900677200903,0.5816027088036118,0.20417607223476297,0.0,0.062302483069977425,0.0,0.0,0.11286681715575621,0.011286681715575621,0.0
