DateTime,三重區,台中市,台北一,台北二,台東市,嘉義市,宜蘭市,板橋區,桃農,豐原區,高雄市,鳳山區
2012-01-01,0.10961375939334414,0.09184349375299787,0.14092871336881296,0.06904821726319636,0.0,0.03289098010552523,0.0,0.0,0.0,0.0,0.011146387702427993,0.5445284484136954
2012-01-03,0.18932450438082932,0.3299349941454355,0.11022731860943998,0.06738805668833528,0.0,0.025840836597084832,0.0,0.0,0.0,0.0,0.05178261396212702,0.22550167561674808
2012-01-04,0.20032659881512987,0.06045875740543825,0.11347409995442807,0.08510557496582105,0.0,0.03721707428224214,0.0,0.0,0.0,0.0,0.05605347106182591,0.4473644235151147
2012-01-05,0.12256667610991946,0.23299202719656806,0.08976486300538265,0.03907483103322676,0.0,0.03885224007446679,0.0,0.0,0.0,0.0,0.00890363835039864,0.4678457242300376
2012-01-06,0.22260440375418766,0.3792931488632586,0.11791934122701583,0.06874152878295783,0.0,0.03938316753190292,0.0,0.0,0.0,0.0,0.040866429685701866,0.13119198015497532
2012-01-07,0.18236523426566903,0.30402291344018806,0.14173492806896423,0.05253484596868994,0.0,0.05448472748306682,0.0,0.0,0.0,0.0,0.05867370738715877,0.20618364338626313
2012-01-08,0.1371452655240236,0.3179544815959539,0.11794043270581624,0.05626580500140489,0.0,0.05675751615622366,0.0,0.0,0.0,0.0,0.04110705254284912,0.2728294464737286
2012-01-10,0.1628218627357136,0.2507897003924572,0.16081171628218627,0.05041319677100284,0.0,0.03828850387671102,0.0,0.0,0.0,0.0,0.027376280271848377,0.30949873967008074
2012-01-11,0.12149275312424691,0.18165387131201158,0.09460529486693979,0.04341240059214377,0.0,0.01824629049471546,0.0,0.0,0.0,0.0,0.0701449375150618,0.4704444520948807
2012-01-12,0.15079223784938578,0.25930211856863095,0.18805412141712657,0.03295353391490119,0.0,0.03987893893537475,0.0,0.0,0.00072992700729927,0.0,0.008367455937333096,0.3199216663699484
2012-01-13,0.13034514863337102,0.12684267695240628,0.18155217131076679,0.1273525304249518,0.0,0.031921260889805146,0.0,0.0,0.0006871938108221941,0.0,0.06257897186938884,0.33872004610848794
2012-01-14,0.10228435049437436,0.24151504819762576,0.11277624523447913,0.0464773889594892,0.0,0.03099525772556799,0.0,0.0,0.006354027833741438,0.0,0.04379629916622757,0.41580138238849457
2012-01-15,0.15825070058202198,0.07194438456563915,0.2663020047424014,0.06132787238629015,0.0,0.09700366458288424,0.0,0.0,0.0,0.0,0.08487820651002372,0.26029316663073937
2012-01-17,0.305729086404533,0.3885655353904148,0.1194300548844818,0.02631610142367738,0.0,0.061167154660439316,0.0,0.0,0.0,0.0,0.062162899038632514,0.036629168197821214
2012-01-18,0.15576805434817606,0.14593193599278792,0.13401912489133586,0.06434527834122154,0.0,0.12878714704272515,0.0,0.0,0.0,0.0,0.07896261953057085,0.29218583985318264
2012-01-19,0.15463427873524224,0.35043522090611245,0.08848845549890468,0.05290502684993118,0.0,0.08568714498962837,0.0,0.0,0.0,0.0,0.03744450691119167,0.2304053661089894
2012-01-20,0.13591807492941127,0.3303636899995786,0.15945888996586455,0.0352058662396224,0.0,0.064393779763159,0.0,0.0,0.0,0.0,0.07262842934805512,0.20203126975430907
2012-01-21,0.11670647367461848,0.30268673323549444,0.23747997659539774,0.07983463305612308,0.0,0.04911129655741322,0.0,0.0,0.0,0.0,0.04420975895178077,0.1699711279291723
2012-01-22,0.09898047059477179,0.25204878184293134,0.18026502208517375,0.023585298774897907,0.0,0.04500375031252604,0.0,0.0,0.0,0.0,0.04592049337444787,0.3541961830152513
2012-01-28,0.16653435379634568,0.4409925946140392,0.13209372712951362,0.05761191808179416,0.0,0.0168698909659253,0.0,0.0,0.0,0.0,0.03965044593572075,0.14624706947666125
2012-01-29,0.16441471170576588,0.3536089278214436,0.11904361912761745,0.06527869442611148,0.0,0.03839923201535969,0.0,0.0,0.0,0.0,0.04073918521629567,0.21851562968740626
2012-02-01,0.1897473063729043,0.2850074890080688,0.10706865729332754,0.05915833212542881,0.0,0.013915060153645456,0.0,0.0,0.0,0.0,0.035106537179301345,0.30999661786732374
2012-02-02,0.1981199259364763,0.3173811897640412,0.1681621801262878,0.08943012233141845,0.0,0.02848597065945022,0.0,0.0,0.0,0.0,0.00012660431404200098,0.19829400686828405
2012-02-05,0.18502067060947106,0.37567273059998835,0.21632187923705903,0.06875785025661502,0.0,0.02761626697942921,0.0,0.0,0.0,0.0,0.01797552799474293,0.10863507432269441
2012-02-09,0.20351841220372344,0.1873069247382378,0.2277672981765494,0.07050493452527407,0.0,0.01858990130949452,0.0,0.0,0.0,0.0,0.07210421279969381,0.22020831624702697
2012-02-10,0.14194417537882584,0.18012180322210716,0.24772593161650913,0.06231559727000457,0.0,0.020486099513455137,0.0,0.0,0.0,0.0,0.007938363561463865,0.3394680294376343
2012-02-11,0.22106639790751806,0.2898999352098481,0.2103040337868644,0.09068221630312193,0.0,0.028795623065294075,0.0,0.0,0.0,0.0,0.05558755069229477,0.10366424303505867
2012-02-12,0.14216563017901973,0.14411827445317757,0.26979308534204094,0.1350278128743252,0.0,0.030192146760087295,0.0,0.0,0.0,0.0,0.004348325484469094,0.2743547249068802
2012-02-14,0.19114951298540442,0.43971026842778016,0.15772733127892113,0.04615491324897692,0.0,0.013872236699993063,0.0,0.0,0.002546546308498727,0.0,0.04014030776547993,0.10869888328494565
2012-02-15,0.23437530431395462,0.13331385724023762,0.2875060862790924,0.08269549128444834,0.0,0.029603661505501998,0.0,0.0,0.0013633265167007499,0.0,0.047093193105463046,0.18404907975460122
