DateTime,平均價,新北市_最大陣風,臺中市_最大陣風,臺南市_最大陣風,高雄市_最大陣風,桃園市_最大陣風,新竹縣_最大陣風,苗栗縣_最大陣風,南投縣_最大陣風,彰化縣_最大陣風,雲林縣_最大陣風,嘉義市_最大陣風,屏東縣_最大陣風,宜蘭縣_最大陣風,花蓮縣_最大陣風,臺東縣_最大陣風,color,x,y
2014-01-01,19.125,6.799999999999998,5.700000000000002,6.1000000000000005,4.9,0.0,5.9,4.4,4.0,3.399999999999999,3.600000000000001,6.200000000000002,13.800000000000002,5.299999999999999,4.9,9.099999999999998,"rgb(219,136,36)",119,36
2014-01-02,17.983333333333334,10.7,4.6000000000000005,6.1000000000000005,5.4,0.0,5.9,3.7000000000000006,4.5,3.2,6.5,5.9,15.0,5.799999999999998,3.7000000000000006,7.299999999999998,"rgb(212,132,43)",123,43
2014-01-03,16.19272727272727,5.200000000000001,6.200000000000002,7.6,7.299999999999998,0.0,5.5,3.899999999999999,4.5,3.8,5.5,7.299999999999998,9.599999999999998,8.0,3.899999999999999,9.3,"rgb(179,95,76)",160,76
2014-01-04,16.080000000000002,6.299999999999998,8.400000000000002,10.599999999999998,7.400000000000001,11.8,14.400000000000004,10.2,3.399999999999999,5.1000000000000005,3.7000000000000006,9.0,16.300000000000004,5.4,5.4,8.200000000000001,"rgb(227,119,28)",136,28
2014-01-05,15.4225,7.400000000000001,6.0,7.299999999999998,7.200000000000002,11.8,14.199999999999998,7.599999999999999,3.600000000000001,6.5,4.0,5.299999999999999,20.6,7.599999999999999,6.4,10.2,"rgb(239,127,16)",128,16
2014-01-06,14.0,8.2,6.3,7.8,6.0,10.5,7.0,3.7,2.6,5.1,5.0,7.0,18.5,5.3,3.4,7.7,"rgb(227,133,28)",122,28
2014-01-07,15.29,9.3,6.900000000000001,5.6000000000000005,6.4,5.6000000000000005,6.599999999999999,5.0,3.2,4.0,4.1000000000000005,5.799999999999998,15.300000000000002,6.200000000000002,4.6000000000000005,7.700000000000002,"rgb(219,132,36)",123,36
2014-01-08,12.359166666666665,8.5,9.099999999999998,11.0,10.5,12.7,15.699999999999998,11.099999999999996,4.299999999999999,6.299999999999998,5.6000000000000005,9.7,11.099999999999996,9.8,6.599999999999999,11.2,"rgb(231,115,24)",140,24
2014-01-09,10.265833333333333,6.0,12.099999999999996,11.7,7.599999999999999,0.0,17.300000000000004,11.8,3.399999999999999,7.5,4.0,10.0,20.300000000000004,8.200000000000001,6.1000000000000005,11.0,"rgb(250,128,5)",127,5
2014-01-10,9.4825,7.099999999999999,8.900000000000002,9.2,8.200000000000001,0.0,13.5,6.700000000000002,3.2999999999999994,5.799999999999998,4.200000000000001,7.799999999999998,19.6,4.0,6.700000000000002,11.3,"rgb(239,139,16)",116,16
2014-01-11,9.770833333333332,9.900000000000002,8.0,7.200000000000002,5.700000000000002,5.9,6.799999999999998,5.299999999999999,3.2999999999999994,4.6000000000000005,5.1000000000000005,7.599999999999999,11.900000000000004,7.099999999999999,4.799999999999999,8.799999999999997,"rgb(236,139,19)",116,19
2014-01-12,11.165454545454548,5.700000000000002,11.7,11.599999999999996,8.5,13.0,13.8,10.900000000000004,4.1000000000000005,7.9,6.6,10.900000000000004,8.700000000000001,9.599999999999998,5.0,8.099999999999998,"rgb(243,133,12)",122,12
2014-01-13,7.9,6.8,11.1,11.3,8.1,13.4,15.6,11.5,3.4,8.7,4.8,11.6,20.8,6.8,7.7,12.4,"rgb(248,125,7)",130,7
