平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color,x,y
17.3125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,"rgb(134,230,121)",25,121
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.3,0.0,0.1,0.5,0.0,"rgb(130,228,125)",27,125
17.05,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,"rgb(130,236,125)",19,125
16.7625,7.5,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,"rgb(139,226,116)",29,116
17.1125,12.5,3.5,1.5,0.0,23.0,11.0,12.0,3.0,0.5,2.5,0.4,0.0,9.5,0.5,0.4,"rgb(130,215,125)",40,125
17.5875,25.0,12.5,0.0,0.0,37.0,42.0,37.5,7.5,6.5,4.0,1.9,0.0,18.5,2.0,0.3,"rgb(115,176,140)",79,140
18.025,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,17.8,0.0,0.0,"rgb(131,225,124)",30,124
17.862499999999994,19.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,"rgb(129,230,126)",25,126
18.475,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(127,232,128)",23,128
17.212500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,"rgb(134,229,121)",26,121
17.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.099999999999998,0.0,0.0,"rgb(133,223,122)",32,122
16.525,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.5,0.9000000000000001,0.0,8.5,1.0,0.0,"rgb(123,242,132)",13,132
17.1125,1.0,1.5,0.0,0.0,6.5,5.5,5.5,0.5,0.5,0.5,0.0,0.0,2.0,0.5,1.5,"rgb(88,201,167)",54,167
17.1125,0.5,2.7,0.0,0.0,21.5,15.0,16.0,1.0,1.5,0.0,1.0,0.0,0.2,2.5,2.2,"rgb(91,187,164)",68,164
16.0,10.0,14.0,1.0,0.0,22.5,24.0,19.0,21.0,12.0,37.5,6.9,0.0,2.8,12.0,8.8,"rgb(113,182,142)",73,142
17.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,"rgb(91,204,164)",51,164
16.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(88,204,167)",51,167
16.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,"rgb(87,204,168)",51,168
15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(95,206,160)",49,160
16.025,5.5,0.0,0.0,0.0,5.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.1000000000000005,0.0,0.0,"rgb(97,204,158)",51,158
15.6375,22.0,7.1000000000000005,0.5,0.0,37.5,27.5,42.5,2.5,3.5,2.5,1.5,0.0,22.1,0.5,0.0,"rgb(115,179,140)",76,140
14.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(92,207,163)",48,163
16.025,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(97,210,158)",45,158
15.314285714285711,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"rgb(129,235,126)",20,126
15.325,3.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(132,232,123)",23,123
15.9125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.5,0.0,"rgb(129,239,126)",16,126
15.3,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,"rgb(137,226,118)",29,118
15.037499999999998,15.0,0.0,0.0,0.0,8.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,"rgb(131,220,124)",35,124
15.2375,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,"rgb(126,240,129)",15,129
16.1375,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.5,0.4,"rgb(89,206,166)",49,166
17.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3.0,"rgb(58,190,197)",65,197
15.0,13.5,11.2,0.5,3.5,6.5,10.0,9.5,14.5,7.5,10.0,8.8,0.0,8.6,2.5,0.5,"rgb(127,215,128)",40,128
17.2875,5.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.3999999999999995,0.5,0.0,"rgb(132,225,123)",30,123
17.3375,0.0,0.0,0.0,0.0,3.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(128,238,127)",17,127
16.662499999999998,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.3,0.5,0.0,"rgb(130,235,125)",20,125
17.34285714285714,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.1,0.0,1.5,"rgb(125,241,130)",14,130
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,16.8,"rgb(80,209,175)",46,175
17.775,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.5,12.5,"rgb(76,204,179)",51,179
17.6375,0.0,0.2,0.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,3.5,10.6,"rgb(77,198,178)",57,178
16.5875,6.0,0.0,0.0,2.0,12.0,8.0,2.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,"rgb(106,204,149)",51,149
16.9125,7.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,"rgb(136,227,119)",28,119
16.9875,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(139,226,116)",29,116
17.342857142857138,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.0,0.3,"rgb(133,224,122)",31,122
12.5,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,4.7,1.0,1.8,"rgb(123,237,132)",18,132
18.2125,0.0,0.0,1.0,17.0,0.0,0.0,0.0,8.5,0.0,5.0,5.5,21.0,0.0,12.0,20.8,"rgb(78,205,177)",50,177
18.7125,0.0,0.1,0.0,2.5,0.0,0.0,0.0,1.0,0.0,1.5,0.0,1.0,0.0,6.5,12.0,"rgb(72,199,183)",56,183
18.857142857142858,21.5,6.200000000000001,0.0,0.0,28.0,36.5,17.5,2.0,15.5,7.5,12.099999999999998,0.0,16.2,1.0,0.0,"rgb(108,178,147)",77,147
17.9,83.0,3.8,11.5,0.0,37.5,87.5,129.0,7.0,3.0,11.0,20.5,0.0,47.10000000000001,4.5,0.0,"rgb(109,165,146)",90,146
18.7375,29.5,14.099999999999998,7.0,0.0,26.5,21.5,9.0,14.5,16.0,5.0,2.5,0.0,20.5,7.5,0.0,"rgb(112,185,143)",70,143
19.085714285714285,33.0,1.6999999999999995,0.0,0.0,20.0,24.0,16.5,2.5,2.5,3.5,0.3,0.0,27.2,1.0,0.0,"rgb(116,189,139)",66,139
17.0,13.0,10.8,0.0,0.0,8.0,4.5,3.0,5.0,3.0,3.0,1.6,0.0,8.4,0.5,0.0,"rgb(120,212,135)",43,135
19.8875,11.0,17.599999999999994,2.5,0.0,39.5,35.5,31.5,18.5,20.5,23.0,13.099999999999998,1.0,2.1,12.5,2.4,"rgb(113,177,142)",78,142
20.125,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.1,"rgb(91,202,164)",53,164
20.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(81,201,174)",54,174
21.4875,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.5,1.6999999999999995,"rgb(74,199,181)",56,181
22.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1000000000000005,1.0,0.0,"rgb(82,199,173)",56,173
22.82857142857143,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000001,"rgb(74,200,181)",55,181
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.5,"rgb(53,190,202)",65,202
24.137500000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,"rgb(53,185,202)",70,202
23.112500000000004,0.5,0.0,0.0,0.0,2.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,0.0,"rgb(75,192,180)",63,180
24.62857142857143,3.0,0.0,0.0,0.0,9.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,3.5,0.0,"rgb(81,192,174)",63,174
24.6,16.0,4.1000000000000005,0.0,0.0,24.5,14.5,10.5,2.0,3.0,11.0,3.8,0.0,4.6000000000000005,3.0,0.2,"rgb(111,190,144)",65,144
24.0625,9.5,8.200000000000001,0.0,0.0,3.0,17.0,7.0,1.5,1.0,0.0,0.0,0.0,5.6000000000000005,0.0,0.0,"rgb(121,214,134)",41,134
24.6,9.5,11.0,0.0,2.5,2.5,3.5,7.0,13.0,10.0,6.0,3.8,0.0,6.4,0.0,0.4,"rgb(122,214,133)",41,133
19.0,17.0,11.9,4.5,6.0,7.5,7.0,16.5,7.0,4.5,4.5,5.7,1.0,44.0,2.0,1.4,"rgb(120,206,135)",49,135
23.61111111111111,25.0,5.6000000000000005,0.0,0.0,18.5,16.5,5.0,0.5,0.0,0.0,0.0,0.0,16.599999999999998,0.0,0.5,"rgb(127,211,128)",44,128
24.1625,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,"rgb(80,206,175)",49,175
24.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,"rgb(64,199,191)",56,191
25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,"rgb(44,192,211)",63,211
24.885714285714286,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,11.0,"rgb(45,201,210)",54,210
22.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,7.7,2.0,2.3,"rgb(77,200,178)",55,178
24.477777777777767,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.5,0.0,"rgb(79,202,176)",53,176
24.8375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,4.0,0.6,"rgb(93,233,162)",22,162
24.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,"rgb(67,215,188)",40,188
25.2,0.5,0.0,0.0,0.0,7.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,"rgb(32,211,223)",44,223
24.275,2.0,0.0,0.0,0.0,3.5,2.5,2.0,0.5,0.0,0.5,1.4,0.0,2.1,0.5,0.0,"rgb(137,228,118)",27,118
24.214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(118,235,137)",20,137
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(94,254,161)",1,161
22.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(91,255,164)",0,164
22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(91,255,164)",0,164
23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,"rgb(89,254,166)",1,166
21.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,"rgb(70,222,185)",33,185
21.6,4.0,0.0,0.0,0.0,6.5,10.5,18.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"rgb(113,233,142)",22,142
21.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(90,254,165)",1,165
19.966666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.5,"rgb(69,217,186)",38,186
22.285714285714285,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,"rgb(82,244,173)",11,173
25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,"rgb(84,249,171)",6,171
20.0,7.0,0.0,0.0,0.0,26.0,12.0,4.5,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,"rgb(92,189,163)",66,163
22.0,8.5,14.2,0.0,4.0,5.0,1.0,1.0,26.0,10.0,12.0,2.6,0.2,9.9,3.0,0.7000000000000001,"rgb(115,213,140)",42,140
21.0,1.5,0.0,0.0,1.5,0.5,1.0,0.5,0.5,0.0,0.5,0.3,0.0,2.6,0.0,0.1,"rgb(86,251,169)",4,169
