DateTime,三重區,南投市,台中市,台北一,台北二,台東市,宜蘭市,屏東市,板橋區,桃農,永靖鄉,溪湖鎮,花蓮市,豐原區,高雄市,鳳山區
2017-10-13,0.0,0.013853904282115869,0.010795250089960417,0.4965815041381792,0.22939906441165886,0.15635120546959339,0.0,0.0,0.015293270960777258,0.0,0.0,0.0,0.077725800647715,0.0,0.0,0.0
2017-10-14,0.0,0.006817407112828087,0.006817407112828087,0.4137029882967845,0.11248721736166345,0.08987615043745029,0.32723554141574823,0.0,0.012498579706851495,0.0,0.0,0.0,0.030564708555845928,0.0,0.0,0.0
2017-10-15,0.0,0.0,0.0,0.5792832596956309,0.2397316314842088,0.17116674848633612,0.0,0.0,0.009818360333824251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-10-17,0.0,0.0,0.0,0.4303578555274711,0.07582812292137821,0.11440734335506186,0.3565252095250765,0.0,0.007981907675934548,0.0,0.0,0.0,0.014899560995077823,0.0,0.0,0.0
2017-10-18,0.0,0.048238789079077665,0.0,0.3225350120243316,0.09336539821756967,0.1457066063092375,0.3621445749045127,0.0,0.0,0.0,0.0,0.0,0.0280096194652709,0.0,0.0,0.0
2017-10-19,0.0,0.0,0.0,0.326635115214524,0.12258515012801614,0.11622313600744821,0.4282721700674994,0.0,0.0,0.0,0.0,0.0,0.00628442858251222,0.0,0.0,0.0
2017-10-20,0.0,0.0,0.0,0.3234522768815068,0.09775093379957085,0.12159262497019789,0.4529921322419137,0.0,0.0,0.0,0.0,0.0,0.0042120321068107765,0.0,0.0,0.0
2017-10-21,0.0,0.0,0.0,0.2984590429845904,0.09407948094079481,0.1492295214922952,0.44768856447688565,0.0,0.0,0.0,0.0,0.0,0.010543390105433901,0.0,0.0,0.0
2017-10-22,0.0,0.0,0.0,0.679240305987866,0.320759694012134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-10-24,0.0,0.0,0.0,0.3552370788229913,0.10001524622655893,0.14102759567007167,0.39030339990852264,0.0,0.0,0.0,0.0,0.0,0.013416679371855466,0.0,0.0,0.0
2017-10-25,0.0,0.0,0.0,0.28083700440528636,0.05947136563876652,0.15436857562408224,0.4882525697503671,0.0,0.0,0.0,0.0,0.0,0.017070484581497798,0.0,0.0,0.0
2017-10-26,0.0,0.012896479609620077,0.0,0.20913210177762287,0.12966190310212616,0.16730568142209828,0.4810038340885326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-27,0.0,0.0,0.0,0.2456597222222222,0.11215277777777778,0.1876736111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.010069444444444445,0.0,0.0,0.0
2017-10-28,0.0,0.0,0.0,0.30926111668338346,0.0618522233366767,0.1763624205951187,0.44299565362754934,0.0,0.0,0.0,0.0,0.0,0.009528585757271816,0.0,0.0,0.0
2017-10-29,0.0,0.0,0.0,0.5179417738659445,0.19747235387045814,0.2845858722635974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.29609487121383793,0.08429639700883752,0.16013294055442254,0.43054611375481533,0.0,0.0024171009895007176,0.0,0.0,0.0,0.026512576478585997,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,0.3081880525489548,0.07601421135255722,0.15202842270511444,0.4560852681153433,0.0,0.0,0.0,0.0,0.0,0.007684045278030241,0.0,0.0,0.0
2017-11-02,0.0,0.0,0.0,0.3229363579080025,0.0630119722747322,0.16619407687460616,0.4332073093887839,0.0,0.0,0.0,0.0,0.0,0.014650283553875236,0.0,0.0,0.0
2017-11-03,0.0,0.0,0.0,0.3181210049056043,0.13155938754273822,0.1181804667756801,0.42515237104206927,0.0,0.0,0.0,0.0,0.0,0.006986769733908132,0.0,0.0,0.0
2017-11-04,0.0,0.0,0.0,0.3503616636528029,0.08363471971066908,0.13863773357444242,0.4159132007233273,0.0,0.0,0.0,0.0,0.0,0.011452682338758288,0.0,0.0,0.0
2017-11-05,0.0,0.0,0.0,0.6609929078014184,0.33900709219858155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-11-07,0.0,0.0,0.0,0.2895306320423849,0.10596224162375942,0.1561077531527498,0.4298186702484889,0.0,0.0,0.0,0.0,0.0,0.018580702932616967,0.0,0.0,0.0
2017-11-08,0.0,0.0,0.0,0.3539607970192775,0.07824396565689293,0.11841892110805119,0.43090879637129437,0.0,0.0,0.0,0.0,0.0,0.018467519844484043,0.0,0.0,0.0
2017-11-09,0.0,0.0,0.0,0.31323652398692314,0.12164525203375656,0.11389036721660457,0.4196761195164601,0.0,0.0,0.0,0.0,0.0,0.03155173724625561,0.0,0.0,0.0
2017-11-10,0.0,0.0,0.0,0.30431432973805855,0.07010785824345146,0.14175654853620956,0.4437596302003082,0.0,0.0,0.0,0.0,0.0,0.040061633281972264,0.0,0.0,0.0
2017-11-11,0.0,0.0,0.0,0.3336823734729494,0.1724258289703316,0.15031995346131471,0.33507853403141363,0.0,0.0,0.0,0.0,0.0,0.008493310063990692,0.0,0.0,0.0
2017-11-12,0.0,0.0,0.0,0.5446428571428571,0.2875,0.16785714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-11-14,0.0,0.0,0.0,0.36459968602825743,0.11224489795918367,0.1228414442700157,0.36106750392464676,0.0,0.003924646781789639,0.0,0.0,0.0,0.03532182103610675,0.0,0.0,0.0
2017-11-15,0.0,0.0,0.0,0.31440604124310195,0.14086552425210572,0.12242230612837642,0.38629102526866105,0.0,0.0,0.0,0.0,0.0,0.03601510310775487,0.0,0.0,0.0
2017-11-16,0.0,0.0,0.0,0.30955104375178727,0.15413211323991993,0.11366885902201887,0.39748355733485846,0.0,0.0,0.0,0.0,0.0,0.025164426651415498,0.0,0.0,0.0
2017-11-17,0.0,0.0,0.0,0.3427798240998271,0.10072915883635271,0.12328046305344659,0.398406374501992,0.0,0.0,0.0,0.0,0.0,0.03480417950838157,0.0,0.0,0.0
